@RELATION all

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE class {"win","lose"}

@DATA
"LegionCommander","AncientApparition","Slark","ShadowFiend","Phoenix",12,2555,"win"
"Lion","DragonKnight","Tidehunter","Juggernaut","Sniper",24,2551,"win"
"Invoker","Tinker","Omniknight","Slark","Riki",24,1826,"win"
"StormSpirit","Phoenix","BountyHunter","ShadowShaman","Anti-Mage",-24,1826,"lose"
"Mirana","ChaosKnight","Techies","Lion","Weaver",11,4087,"win"
"Riki","LoneDruid","Pudge","Tinker","FacelessVoid",-43,1940,"lose"
"Zeus","CrystalMaiden","Axe","Ursa","Silencer",43,1940,"win"
"Lina","Techies","ChaosKnight","Huskar","Bane",-9,2216,"lose"
"Kunkka","NyxAssassin","Viper","Juggernaut","Abaddon",-29,2828,"lose"
"PhantomAssassin","Undying","StormSpirit","WraithKing","Axe",29,2828,"win"
"Enchantress","Lion","Silencer","Slark","PhantomAssassin",34,2599,"win"
"DrowRanger","Invoker","TrollWarlord","CrystalMaiden","BountyHunter",-34,2599,"lose"
"TrollWarlord","Invoker","Sniper","DrowRanger","Sven",6,2470,"win"
"ChaosKnight","Lifestealer","Mirana","Juggernaut","Pudge",-6,2470,"lose"
"Viper","Clinkz","VengefulSpirit","Venomancer","Invoker",-5,1403,"win"
"CentaurWarrunner","Ursa","Rubick","Tiny","WitchDoctor",5,1403,"lose"
"Slark","Invoker","CentaurWarrunner","Disruptor","BountyHunter",17,2347,"win"
"ShadowFiend","Riki","Timbersaw","DrowRanger","Mirana",-17,2347,"lose"
"Tinker","SpiritBreaker","Lifestealer","Tusk","Juggernaut",7,2715,"lose"
"Pudge","WinterWyvern","Alchemist","Slark","Oracle",-27,2003,"lose"
"Windranger","Timbersaw","Juggernaut","PhantomAssassin","Omniknight",27,2003,"win"
"FacelessVoid","WitchDoctor","Invoker","Omniknight","ShadowFiend",-15,3922,"lose"
"Timbersaw","Sniper","Earthshaker","PhantomAssassin","Windranger",15,3922,"win"
"Riki","Ursa","NagaSiren","Tinker","TemplarAssassin",16,2024,"win"
"Lina","Morphling","Huskar","PhantomAssassin","FacelessVoid",-16,2024,"lose"
"OgreMagi","Windranger","undefined","SpiritBreaker","Sven",4,237,"lose"
"Slark","Dazzle","Tiny","OgreMagi","Viper",-24,2656,"lose"
"Huskar","Bristleback","SkywrathMage","FacelessVoid","Oracle",-27,2177,"lose"
"ShadowFiend","Puck","LegionCommander","Alchemist","Invoker",27,2177,"win"
"FacelessVoid","Venomancer","Riki","Invoker","NyxAssassin",13,1326,"win"
"PhantomAssassin","Enigma","Sven","Broodmother","Axe",-13,1326,"lose"
"DeathProphet","Bloodseeker","Riki","PhantomAssassin","Sven",26,2330,"win"
"Timbersaw","Slark","Ursa","ShadowFiend","FacelessVoid",-26,2330,"lose"
"LegionCommander","NightStalker","Weaver","Pudge","Sniper",-7,3084,"lose"
"SpiritBreaker","PhantomAssassin","Huskar","undefined","EarthSpirit",4,654,"lose"
"Riki","Pudge","Anti-Mage","ElderTitan","WraithKing",30,2358,"win"
"Phoenix","FacelessVoid","DrowRanger","ShadowShaman","Invoker",-30,2358,"lose"
"NyxAssassin","Sven","Alchemist","WinterWyvern","Bristleback",10,2075,"win"
"Pudge","Nature'sProphet","Batrider","ShadowFiend","ChaosKnight",-10,2075,"lose"
"SandKing","BountyHunter","Anti-Mage","Juggernaut","ShadowFiend",-31,2846,"lose"
"WitchDoctor","Riki","PhantomAssassin","ChaosKnight","Timbersaw",31,2846,"win"
"LoneDruid","Tiny","Windranger","Invoker","Ursa",-21,2197,"lose"
"Omniknight","Sniper","DrowRanger","PhantomAssassin","Sven",21,2197,"win"
"Slark","Nature'sProphet","Pudge","Invoker","BountyHunter",-8,1854,"lose"
"Mirana","Beastmaster","Juggernaut","ShadowFiend","LegionCommander",8,1854,"win"
"Pudge","BountyHunter","Mirana","Batrider","Sniper",16,2619,"win"
"Oracle","Clinkz","Jakiro","Doom","Terrorblade",-16,2619,"lose"
"FacelessVoid","Slark","Pudge","Kunkka","Clinkz",7,2587,"win"
"BountyHunter","Bloodseeker","PhantomAssassin","Necrophos","Rubick",-7,2587,"lose"
"LoneDruid","Ursa","Anti-Mage","Bane","Axe",-23,3413,"lose"
"Riki","Medusa","Lion","SpiritBreaker","PhantomAssassin",23,3413,"win"
"Zeus","DragonKnight","Silencer","DrowRanger","QueenofPain",16,4493,"win"
"ShadowShaman","LoneDruid","Bloodseeker","Riki","Lycan",15,1996,"win"
"Pudge","OgreMagi","Pugna","Viper","Juggernaut",-15,1996,"lose"
"Tinker","Silencer","Enigma","Medusa","Warlock",0,220,"lose"
"LegionCommander","Timbersaw","Juggernaut","Lich","QueenofPain",7,2596,"win"
"Axe","DarkSeer","PhantomAssassin","Sniper","Techies",5,3408,"lose"
"Magnus","FacelessVoid","Juggernaut","Huskar","DrowRanger",-5,3408,"win"
"LegionCommander","VengefulSpirit","Broodmother","PhantomAssassin","WraithKing",25,2120,"win"
"Dazzle","ShadowFiend","Alchemist","Juggernaut","Pudge",-25,2120,"lose"
"QueenofPain","Timbersaw","Anti-Mage","Disruptor","Slark",64,1330,"win"
"Huskar","Terrorblade","Tinker","WraithKing","Nature'sProphet",-64,1330,"lose"
"PhantomAssassin","Batrider","LegionCommander","Riki","NightStalker",2,2138,"win"
"Lifestealer","Bloodseeker","Disruptor","QueenofPain","Mirana",-2,2138,"lose"
"Juggernaut","Sven","ShadowFiend","Lion","Spectre",-14,2277,"lose"
"FacelessVoid","WraithKing","Puck","Pudge","BountyHunter",14,2277,"win"
"NyxAssassin","Slardar","LegionCommander","StormSpirit","Alchemist",1,3638,"win"
"Lion","Abaddon","Tidehunter","Invoker","Morphling",-1,3638,"lose"
"Huskar","TreantProtector","EarthSpirit","Bloodseeker","Necrophos",37,1771,"win"
"ChaosKnight","Bane","CrystalMaiden","DrowRanger","Windranger",-37,1771,"lose"
"Mirana","TreantProtector","Lifestealer","Spectre","LoneDruid",14,3293,"win"
"Anti-Mage","Alchemist","Slardar","Leshrac","Nature'sProphet",-14,3293,"lose"
"Tinker","Sven","Spectre","Anti-Mage","StormSpirit",-18,2181,"lose"
"Lifestealer","LegionCommander","Sniper","CrystalMaiden","WraithKing",18,2181,"win"
"Warlock","SpiritBreaker","Mirana","Tinker","LegionCommander",-63,2037,"lose"
"Razor","Windranger","BountyHunter","Dazzle","Necrophos",63,2037,"win"
"BountyHunter","PhantomAssassin","Oracle","Puck","Timbersaw",18,2142,"win"
"Invoker","Batrider","Anti-Mage","NyxAssassin","Disruptor",-18,2142,"lose"
"StormSpirit","Mirana","Anti-Mage","Axe","Bloodseeker",6,2006,"win"
"NyxAssassin","ShadowFiend","Riki","FacelessVoid","Nature'sProphet",-21,2190,"lose"
"DrowRanger","PhantomAssassin","Rubick","Meepo","Tinker",21,2190,"win"
"Invoker","Slark","Silencer","Bloodseeker","Axe",-15,2400,"lose"
"LegionCommander","Pudge","Juggernaut","Lina","ShadowShaman",15,2400,"win"
"CentaurWarrunner","Kunkka","BountyHunter","Ursa","TemplarAssassin",-10,2167,"lose"
"Enigma","LegionCommander","DrowRanger","Juggernaut","PhantomAssassin",10,2167,"win"
"Mirana","Slark","Batrider","CentaurWarrunner","Silencer",4,3043,"win"
"LegionCommander","Juggernaut","ShadowDemon","Zeus","Tidehunter",-4,3043,"lose"
"Tidehunter","Earthshaker","Tinker","Tusk","Juggernaut",30,3094,"win"
"Lion","Viper","Timbersaw","Windranger","Invoker",-30,3094,"lose"
"Timbersaw","Axe","Slardar","Windranger","WinterWyvern",-5,2999,"win"
"Juggernaut","NyxAssassin","Anti-Mage","Rubick","Pudge",5,2999,"lose"
"OgreMagi","Beastmaster","ElderTitan","Puck","Spectre",-6,3218,"win"
"ArcWarden","Timbersaw","NyxAssassin","Axe","Pudge",6,3218,"lose"
"Invoker","Abaddon","Clinkz","Necrophos","Pudge",8,2154,"win"
"Juggernaut","Zeus","Silencer","LegionCommander","Slardar",-8,2154,"lose"
"Bloodseeker","StormSpirit","EmberSpirit","Magnus","Sniper",56,2462,"win"
"StormSpirit","LegionCommander","CentaurWarrunner","Riki","PhantomLancer",-10,2420,"lose"
"Alchemist","TrollWarlord","Tinker","Medusa","WitchDoctor",10,2420,"win"
"CentaurWarrunner","OgreMagi","Alchemist","Enchantress","Juggernaut",11,1749,"win"
"Nature'sProphet","CrystalMaiden","Invoker","Omniknight","Slark",-11,1749,"lose"
"Nature'sProphet","DrowRanger","DarkSeer","QueenofPain","Sven",-13,3660,"lose"
"Clockwerk","VengefulSpirit","Zeus","Morphling","PhantomAssassin",13,3660,"win"
"Necrophos","Pudge","Tiny","Juggernaut","ShadowFiend",-21,3027,"lose"
"Riki","NightStalker","Lifestealer","Axe","PhantomAssassin",21,3027,"win"
"Sniper","Sven","ChaosKnight","Windranger","Invoker",13,2605,"win"
"Pudge","WraithKing","Slark","Lina","Juggernaut",12,2663,"win"
"Slardar","Lifestealer","Tiny","Tinker","SpiritBreaker",-12,2663,"lose"
"Tidehunter","DrowRanger","VengefulSpirit","Nature'sProphet","Weaver",-4,4027,"win"
"Morphling","Clinkz","Rubick","Kunkka","Axe",4,4027,"lose"
"Anti-Mage","EarthSpirit","ElderTitan","Abaddon","SkywrathMage",-12,2576,"lose"
"Oracle","Sven","CrystalMaiden","StormSpirit","TemplarAssassin",12,2576,"win"
"Bristleback","DarkSeer","Timbersaw","Leshrac","Slark",-16,2552,"lose"
"CrystalMaiden","Nature'sProphet","Sven","Tinker","FacelessVoid",16,2552,"win"
"Slark","Riki","Kunkka","Invoker","Silencer",-15,2925,"lose"
"Morphling","Invoker","Riki","PhantomAssassin","Pudge",9,2974,"win"
"Tinker","Lion","FacelessVoid","Axe","KeeperoftheLight",-9,2974,"lose"
"DrowRanger","PhantomAssassin","Lion","Slark","Morphling",13,2578,"win"
"Abaddon","Medusa","Pudge","Sniper","Juggernaut",-13,2578,"lose"
"Lifestealer","DrowRanger","Morphling","Sven","OgreMagi",-9,2567,"lose"
"PhantomLancer","Windranger","Tidehunter","Terrorblade","Earthshaker",9,2567,"win"
"FacelessVoid","Lich","Terrorblade","Pugna","Kunkka",10,1907,"win"
"Tiny","Nature'sProphet","Invoker","Timbersaw","Bloodseeker",-10,1907,"lose"
"Riki","Invoker","Bloodseeker","Sniper","PhantomAssassin",22,2268,"win"
"Warlock","Zeus","TrollWarlord","Pudge","Sniper",23,2217,"win"
"PhantomAssassin","Bloodseeker","Beastmaster","Pudge","Invoker",-19,1715,"lose"
"OgreMagi","Razor","EmberSpirit","Sniper","Ursa",19,1715,"win"
"Invoker","OgreMagi","PhantomAssassin","Tidehunter","Sven",23,2257,"win"
"ShadowFiend","Enigma","NightStalker","Slardar","Dazzle",-23,2257,"lose"
"Juggernaut","ShadowFiend","Axe","ShadowShaman","Slardar",-38,2810,"lose"
"CrystalMaiden","LegionCommander","Slark","Sniper","Abaddon",38,2810,"win"
"ShadowFiend","Axe","Enigma","Omniknight","PhantomAssassin",7,3002,"win"
"FacelessVoid","Riki","Necrophos","Abaddon","Pudge",-7,3002,"lose"
"QueenofPain","Kunkka","Mirana","VengefulSpirit","Lifestealer",32,2192,"win"
"Invoker","Chen","Pudge","Earthshaker","DrowRanger",-32,2192,"lose"
"Techies","CrystalMaiden","LegionCommander","Slark","ShadowFiend",43,2163,"win"
"Riki","Juggernaut","Bloodseeker","Io","Tinker",19,2520,"win"
"Tidehunter","Invoker","BountyHunter","Jakiro","Slark",-19,2520,"lose"
"Timbersaw","PhantomAssassin","WinterWyvern","Meepo","ShadowFiend",-13,2341,"lose"
"Slark","Axe","Rubick","Alchemist","Anti-Mage",13,2341,"win"
"DrowRanger","Tinker","Anti-Mage","Windranger","Dazzle",-22,2303,"lose"
"Mirana","Bloodseeker","NightStalker","FacelessVoid","Zeus",22,2303,"win"
"LegionCommander","Broodmother","NightStalker","Enigma","Lion",10,2833,"win"
"Bristleback","PhantomAssassin","ShadowShaman","Invoker","Lifestealer",-10,2833,"lose"
"Anti-Mage","Sniper","Bloodseeker","PhantomAssassin","Windranger",25,2085,"win"
"Slark","Tinker","CentaurWarrunner","Jakiro","Rubick",-16,2098,"lose"
"Medusa","Pudge","Dazzle","Juggernaut","LegionCommander",16,2098,"win"
"Mirana","Viper","Brewmaster","Windranger","KeeperoftheLight",21,2394,"win"
"LegionCommander","Riki","Sven","Tiny","Pudge",-21,2394,"lose"
"Slardar","Magnus","Venomancer","Windranger","Alchemist",4,3019,"win"
"Mirana","Techies","AncientApparition","Ursa","Invoker",-4,3019,"lose"
"Huskar","PhantomLancer","Clinkz","ShadowShaman","Morphling",17,1728,"win"
"Timbersaw","EarthSpirit","Windranger","Chen","Sniper",-17,1728,"lose"
"DrowRanger","Invoker","Lion","Anti-Mage","DragonKnight",-23,2247,"lose"
"PhantomAssassin","Slardar","Juggernaut","Mirana","Silencer",23,2247,"win"
"WraithKing","Pudge","Necrophos","PhantomAssassin","Nature'sProphet",14,3197,"win"
"Riki","WinterWyvern","CrystalMaiden","Morphling","Bristleback",-14,3197,"lose"
"ChaosKnight","PhantomAssassin","BountyHunter","Juggernaut","Disruptor",33,1792,"win"
"Juggernaut","DeathProphet","SandKing","Tusk","FacelessVoid",-15,2686,"lose"
"Windranger","Pudge","QueenofPain","Morphling","Undying",15,2686,"win"
"Kunkka","Sniper","DragonKnight","PhantomAssassin","FacelessVoid",30,3306,"win"
"SandKing","Earthshaker","DrowRanger","Bristleback","LegionCommander",-30,3306,"lose"
"LegionCommander","Invoker","Slardar","Razor","Anti-Mage",-20,2313,"lose"
"Riki","Tinker","Huskar","EarthSpirit","DrowRanger",20,2313,"win"
"Tusk","LegionCommander","BountyHunter","PhantomAssassin","Batrider",-7,2577,"lose"
"Necrophos","Tinker","Viper","DragonKnight","Alchemist",7,2577,"win"
"Mirana","Lina","Abaddon","AncientApparition","SpiritBreaker",18,1478,"win"
"Invoker","Omniknight","Alchemist","NyxAssassin","Anti-Mage",-18,1478,"lose"
"Clockwerk","ArcWarden","Silencer","Doom","Anti-Mage",28,2075,"win"
"Broodmother","Bristleback","Lina","Weaver","Huskar",6,1354,"win"
"Riki","TreantProtector","Bloodseeker","PhantomAssassin","SpiritBreaker",-6,1354,"lose"
"Kunkka","Lifestealer","ShadowShaman","Clinkz","Meepo",-2,2181,"win"
"Riki","Mirana","SandKing","Slark","Rubick",2,2181,"lose"
"Ursa","WraithKing","LegionCommander","Dazzle","Huskar",-16,2810,"lose"
"Invoker","DrowRanger","Pudge","Slardar","Slark",16,2810,"win"
"OutworldDevourer","PhantomAssassin","Mirana","Ursa","SpiritBreaker",16,3037,"win"
"Lifestealer","Jakiro","Anti-Mage","DrowRanger","Zeus",-16,3037,"lose"
"Weaver","Oracle","Axe","SandKing","Bloodseeker",-40,2330,"lose"
"Earthshaker","Anti-Mage","WraithKing","Bristleback","PhantomAssassin",40,2330,"win"
"Ursa","Omniknight","Axe","DragonKnight","DeathProphet",17,1527,"win"
"Tinker","PhantomAssassin","ShadowDemon","Timbersaw","DrowRanger",-17,1527,"lose"
"EmberSpirit","Juggernaut","Invoker","Ursa","Slark",10,2673,"win"
"Luna","StormSpirit","Invoker","Tidehunter","Nature'sProphet",1,2243,"win"
"SpiritBreaker","DarkSeer","Juggernaut","Sven","OutworldDevourer",-1,2243,"lose"
"Invoker","CentaurWarrunner","Juggernaut","Omniknight","OgreMagi",37,1494,"win"
"Silencer","Meepo","DrowRanger","WraithKing","TemplarAssassin",-37,1494,"lose"
"SpiritBreaker","Sniper","OgreMagi","Axe","Medusa",5,2763,"win"
"Riki","Slardar","Batrider","Kunkka","LegionCommander",-5,2763,"lose"
"Ursa","Disruptor","Riki","StormSpirit","Slark",-15,3065,"win"
"Lifestealer","Clockwerk","Omniknight","Lion","Tinker",15,3065,"lose"
"PhantomAssassin","Sven","Sniper","Anti-Mage","Chen",-24,2348,"lose"
"OgreMagi","PhantomAssassin","Juggernaut","TrollWarlord","Alchemist",15,1988,"win"
"DrowRanger","Ursa","ShadowDemon","Tidehunter","Invoker",-15,1988,"lose"
"DrowRanger","Pudge","FacelessVoid","Juggernaut","Dazzle",1,2697,"lose"
"Doom","Mirana","VengefulSpirit","Slark","Enchantress",-1,2697,"win"
"Timbersaw","Riki","Sven","Morphling","PhantomAssassin",-49,2053,"lose"
"StormSpirit","Mirana","NightStalker","Kunkka","ChaosKnight",49,2053,"win"
"Alchemist","CrystalMaiden","Huskar","Dazzle","PhantomAssassin",12,2078,"win"
"DeathProphet","Mirana","Slark","Invoker","Axe",-12,2078,"lose"
"TreantProtector","Slark","Alchemist","EmberSpirit","Venomancer",2,2699,"win"
"Riki","ShadowFiend","Pudge","PhantomAssassin","Omniknight",7,2703,"win"
"Rubick","Axe","Anti-Mage","Gyrocopter","Juggernaut",-7,2703,"lose"
"SandKing","StormSpirit","FacelessVoid","Pudge","DrowRanger",10,2929,"win"
"Slark","Zeus","LegionCommander","Omniknight","Spectre",-10,2929,"lose"
"BountyHunter","LegionCommander","Pudge","Sniper","Venomancer",-28,2822,"lose"
"Pudge","Bloodseeker","Zeus","Bristleback","Anti-Mage",-15,2359,"lose"
"Invoker","Tinker","Slark","CrystalMaiden","Lifestealer",15,2359,"win"
"Necrophos","Zeus","DrowRanger","Juggernaut","StormSpirit",10,2308,"win"
"Riki","Kunkka","Huskar","Mirana","CentaurWarrunner",-10,2308,"lose"
"Rubick","Sven","Invoker","WraithKing","Clinkz",-21,3809,"lose"
"Sniper","Weaver","Huskar","VengefulSpirit","Pudge",21,3809,"win"
"Riki","Pudge","Weaver","Windranger","Slark",1,3719,"lose"
"ChaosKnight","PhantomAssassin","SpiritBreaker","Silencer","WraithKing",-1,3719,"win"
"WraithKing","Axe","CentaurWarrunner","Sven","TrollWarlord",-26,2558,"lose"
"Tinker","DrowRanger","AncientApparition","Venomancer","Riki",26,2558,"win"
"Pudge","Huskar","VengefulSpirit","Sven","Rubick",6,3397,"win"
"Medusa","Zeus","Enchantress","Timbersaw","CrystalMaiden",14,2378,"win"
"Slark","Juggernaut","CentaurWarrunner","Enigma","VengefulSpirit",-14,2378,"lose"
"StormSpirit","SkywrathMage","CrystalMaiden","FacelessVoid","Sniper",3,2465,"win"
"Puck","LegionCommander","Slark","VengefulSpirit","DarkSeer",-3,2465,"lose"
"DrowRanger","Kunkka","Huskar","Dazzle","Windranger",12,1826,"win"
"Alchemist","Axe","Riki","PhantomAssassin","Lion",-12,1826,"lose"
"Enigma","LegionCommander","NightStalker","Invoker","Juggernaut",-24,2186,"lose"
"Lion","FacelessVoid","Axe","ShadowFiend","Clockwerk",24,2186,"win"
"Leshrac","Slark","Tiny","Riki","Tidehunter",9,2883,"win"
"Zeus","Techies","Ursa","Invoker","Mirana",-9,2883,"lose"
"Huskar","Disruptor","Pudge","DragonKnight","Kunkka",-9,3128,"lose"
"BountyHunter","Pudge","Bloodseeker","Sven","Weaver",-19,2485,"lose"
"Riki","Alchemist","Lion","Pudge","PhantomAssassin",-21,1796,"lose"
"Tinker","OgreMagi","CrystalMaiden","Juggernaut","Mirana",21,1796,"win"
"Ursa","Necrophos","Alchemist","Spectre","Sven",-54,1472,"lose"
"Sniper","WitchDoctor","Lich","Lion","Tidehunter",54,1472,"win"
"FacelessVoid","Sven","DrowRanger","Oracle","ElderTitan",17,1567,"win"
"Slark","Alchemist","Dazzle","LegionCommander","Nature'sProphet",-17,1567,"lose"
"WinterWyvern","LegionCommander","SkywrathMage","DragonKnight","EmberSpirit",-28,2362,"lose"
"AncientApparition","Lifestealer","Sven","Alchemist","Tinker",28,2362,"win"
"Dazzle","WraithKing","Invoker","DragonKnight","Mirana",-6,2816,"lose"
"DeathProphet","Omniknight","Spectre","PhantomAssassin","Bristleback",6,2816,"win"
"Anti-Mage","SpiritBreaker","Omniknight","Mirana","Axe",6,2173,"win"
"Sven","ShadowShaman","Terrorblade","Bloodseeker","Pudge",-6,2173,"lose"
"Bristleback","Sven","Meepo","Invoker","Mirana",-17,2453,"lose"
"Omniknight","Huskar","Techies","DragonKnight","ShadowFiend",17,2453,"win"
"Ursa","Viper","Axe","PhantomAssassin","Pudge",33,1962,"win"
"Alchemist","ShadowFiend","Lina","Bloodseeker","PhantomLancer",-33,1962,"lose"
"Kunkka","Slark","ElderTitan","ArcWarden","QueenofPain",-5,676,"lose"
"Bloodseeker","DrowRanger","Windranger","OutworldDevourer","PhantomLancer",-21,2453,"lose"
"Earthshaker","Sven","Axe","Rubick","LegionCommander",6,1095,"win"
"Omniknight","Kunkka","Lion","Juggernaut","DrowRanger",-6,1095,"lose"
