Heroes,Kills,Deaths,Assists,Last hits,GPM,Xpm,Hero Damage,Tower damage,Gold,Gold Spent
58,7.79,4.95,12.23,112.27,416.27,469.7,11656.51,1506.26,2225.1,14961.14
59,13.34,9.1,10.2,119.26,495.86,523.45,18177.19,2701.47,2476.72,15768.94
60,9.3,5.69,16.93,115.81,455.86,511.56,12111.26,2125.44,2079.31,16168.08
61,7.17,5.06,9.43,163.55,499.54,524.89,9760.74,2824.07,2547.14,15853.73
62,8.34,6.34,20.62,55.41,476.11,442.83,9897.98,793.09,2650.1,16805.94
63,10.37,5.45,16.36,163.35,506.19,556.52,15584.27,3480.74,2601.96,18488.53
64,4.81,6.82,19.05,72.72,384.01,410.49,9769.74,1723.87,2271.39,11995.47
65,7.01,6.72,19.95,97.95,411.87,471.45,10897.3,537.55,2181.79,13779.48
66,4.61,5.68,17.59,97.29,371.12,369.2,6298.02,1804.97,1948.93,11958.05
67,10.48,5.47,20.04,217.1,532.3,585.63,18439.09,2119.84,2847.75,20187.05
68,6.14,6.57,19.74,52.28,349.73,372.79,9863.86,522.15,2137.15,12572.02
69,6.94,6.09,14.68,152.6,493.87,509.74,9919.66,1227.8,2414.73,17932.78
70,12.46,5.8,11.77,130.72,503.29,566.62,16195.82,1817.27,2531.19,17206.81
71,9.91,7.44,23.46,76.51,416.1,480.38,13017.21,987.21,2150.48,14123.21
72,8.99,7.15,15.45,167.41,484.75,498.06,14349.14,2221.18,2329.67,17511.43
73,8.05,5.6,13.32,277.71,798.17,641.27,15221.88,4025.25,3472.75,28811.2
74,10.44,5.82,15.64,165.6,526.65,571.09,16050.3,2925.33,3177.51,18448.64
75,8.13,7.06,19.79,93.15,412.39,448.72,12906.22,1522.21,2243.95,14389.54
76,12.22,6.52,11.94,151.91,491.77,539.65,16966.29,1979.74,2627.65,17779.83
77,7.47,5.53,12.36,178.5,521.32,525.79,9685.5,4776.64,2459.1,16975.11
78,6.69,6.34,17.12,141.49,433.41,493.47,10593.5,1369.37,2458.58,15851.21
79,4.72,7.45,17.23,62.08,350.04,362.72,8542.91,1163.61,1988.24,11659
80,4.89,4.39,11.87,193.1,510.97,455.72,8498.38,3625.12,2575.5,16476.03
81,10.66,6.72,12.91,139.22,480.29,526.41,14094.52,3085.54,2588.9,16955.74
82,12.74,6.51,10.45,230.35,614.85,757.46,15692.41,4815.46,3573,18659.61
83,3.52,5.72,17.9,106.17,370.83,400.87,5638.76,700.48,2377,12654.5
84,5.29,6.28,19.29,52.55,357.31,430.11,9814.46,536.97,2061.57,11984.4
85,6.39,6.82,22.41,76.64,386.97,444.36,8822.04,766.72,2231.35,13093.55
86,4.79,7.68,18.03,60.27,352.36,396.03,7882.46,474.85,1879.46,11983.4
87,5.12,7.52,22.98,46.2,348.07,390.31,9367.73,582.03,1920.94,11526.84
88,10.26,6.53,15.21,57.3,394.37,488.04,14209.37,423.93,1989.41,14234.09
89,6.09,4.55,14.54,291.98,549.68,515.48,10962.11,2883.89,3523.37,21418.57
90,3.64,5.84,20.81,87.36,373.54,396.77,7670.75,613.51,2327.2,12508.97
91,3.52,8.33,22.27,34.96,320.1,374.67,5485.18,551.04,1897.42,10806.57
92,8.35,6.4,16.26,86,405.98,443.06,11773.94,1795.77,2344.37,14605
93,13.52,5.96,13.23,182.03,551.75,620.55,17423.64,3023.99,2884.32,20119.96
94,6.97,3.83,15.43,279.73,586,596.33,14336.44,3782.93,3192.77,22303.78
95,9.76,6.71,13.59,182.63,527.73,569.6,13461.91,4187.11,2518.36,18529.85
96,8.05,6.48,19.41,146.27,462.9,514.21,12962.84,2260.33,2667.68,15972.27
97,7.01,6.22,17.28,142.07,446.82,517.95,10482.4,1204.97,2458.18,15928.39
98,10.84,6.62,15.27,182.19,522.72,581.01,17252.94,695.05,2815.48,18193.63
99,8.33,6.64,18.29,136.44,456.62,514.59,15531.28,1761.23,2478.71,16170.47
100,8.71,7.9,16.56,82.98,414.76,449.36,12084.23,1020.13,2067.58,14007.62
101,8.75,7.91,15.75,48.77,366.82,425.53,13635.37,599.43,1997.03,12898.05
102,6.45,5.38,17.89,117.53,434.99,501.39,11101.98,1739.49,2441.38,15011.91
103,4.45,6.45,21.23,75.16,365.67,421.08,10175.68,635.49,2255.58,12878.91
104,10.62,6.04,11.56,199.05,536.99,588.41,13431.07,3732.55,2725.46,18581.45
105,8.27,7.66,7.49,73.25,347.82,300.47,12472.92,357.19,2157.23,13393.08
106,9.93,5.9,14.56,238.57,551.26,572.09,15838.25,1932.56,2675.99,20752.48
107,4.85,7.79,20.15,50.56,352.04,404.49,8595.35,447.82,1981.41,12188.51
109,9.01,5.89,11.71,227.67,557.9,538.9,13035.28,5618.98,3249.8,19515.06
110,5.92,6.8,21.7,65.67,376.76,444.29,11506.81,615,2641.4,12477.11
111,6.85,6.02,18.14,40.1,356.4,385.61,8138.55,710.53,2076.09,11376.75
112,3.84,6.07,16.88,64.68,352.95,401.78,6277.57,610.27,2133.64,11671.22
113,10.57,6.05,14.4,165.33,573.59,536.78,17876.99,2984.42,3001.09,19950.93
